Version,subjID,Gender,Age,Ethinicity,Race,Q1_V,Q2_B,Q3_N,Q4_M,Sum_Q1_Q4,Did the structure depend on the dimension (e.g. age/gender)?,How did you decide on your button responses?,How difficult did you find this task?
3,32,Female,33,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,5
2,33,Female,23,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,4
4,34,Female,38,Non-Hispanic/Latino,Asian,1,1,1,1,2,,,5
2,35,Female,49,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,3
4,36,Female,26,Non-Hispanic/Latino,Black/African American,1,1,1,1,2,,,5
1,37,Male,27,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,4
4,38,Female,29,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,3,4
2,39,Male,43,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,2,4
1,40,Female,35,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,3
4,41,Female,28,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,3
3,42,Male,24,Do Not Wish to Reply,Asian,1,1,1,1,1,1,2,3
3,43,Male,25,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,4
1,44,Female,32,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,3
3,45,Female,25,Hispanic/Latino,Asian,1,1,1,1,1,1,3,3
4,46,Female,19,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,3
3,47,Male,24,Do Not Wish to Reply,Asian,1,1,1,1,1,1,2,3
1,48,Female,50,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,3
3,49,Female,37,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,4
2,50,Female,27,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,3
3,51,Male,29,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,4,3
1,52,Male,26,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,2,3
4,53,Male,29,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,4
2,54,Female,32,Non-Hispanic/Latino,Black/African American,1,1,1,1,1,1,3,4
3,55,Female,24,Do Not Wish to Reply,Asian,1,1,1,1,1,1,2,3
1,56,Female,35,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,3
4,57,Male,40,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,5
3,58,Female,35,Non-Hispanic/Latino,American Indian/Alaska Native,1,1,1,1,2,,,3
2,59,Female,35,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,1,1,4,3
4,60,Male,30,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,4
1,61,Male,31,Non-Hispanic/Latino,Asian,1,1,1,1,1,1,3,4
2,62,Female,27,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,4
3,63,Male,25,Non-Hispanic/Latino,Asian,1,1,1,1,2,,,5
1,64,Female,34,Non-Hispanic/Latino,Black/African American,1,1,1,1,1,0,,3
2,65,Female,36,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,2,,,3
