,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,PositiveTransfer,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
26,26,Resp,2,27,26,26,0,7,7,8,5,3,YMN,0,2,3,n,n,1,605,1,21,1
27,27,Resp,2,28,27,27,0,7,7,8,6,2,OFN,0,3,2,b,b,1,671,1,22,1
28,28,Resp,2,29,28,28,0,7,8,8,6,1,YFN,1,1,1,v,v,1,859,1,23,1
29,29,Resp,2,30,29,29,0,8,8,8,6,3,YMN,0,2,3,n,n,1,591,1,24,1
30,30,Resp,2,31,30,30,0,8,8,8,7,2,OFN,0,3,2,b,b,1,628,1,25,1
31,31,Resp,2,32,31,31,0,9,8,8,7,3,YMN,0,2,3,n,n,1,607,1,26,1
32,32,Resp,2,33,32,32,0,9,8,9,7,4,OMN,1,4,4,m,m,1,403,1,27,1
33,33,Resp,2,34,33,33,0,9,9,9,7,1,YFN,1,1,1,v,v,1,663,1,28,1
34,34,Resp,2,35,34,34,0,9,9,9,8,2,OFN,0,3,2,b,b,1,451,1,29,1
35,35,Resp,2,36,35,35,0,9,10,9,8,1,YFN,1,1,1,v,v,1,518,1,30,1
36,36,Resp,2,37,36,36,0,9,10,10,8,4,OMN,1,4,4,m,m,1,531,1,31,1
37,37,Resp,2,38,37,37,0,10,10,10,8,3,YMN,0,2,3,n,n,1,599,1,32,1
38,38,Resp,2,39,38,38,0,10,10,11,8,4,OMN,1,4,4,m,m,1,669,1,33,1
39,39,Resp,2,40,39,39,0,10,10,11,9,2,OFN,0,3,2,b,b,1,592,1,34,1
40,40,Resp,2,41,40,40,0,10,10,12,9,4,OMN,1,4,4,m,m,1,515,1,35,1
41,41,Resp,2,42,41,41,0,10,11,12,9,1,YFN,1,1,1,v,v,1,608,1,36,1
42,42,Resp,2,43,42,42,0,11,11,12,9,3,YMN,0,2,3,n,n,1,653,1,37,1
43,43,Resp,2,44,43,43,0,11,11,12,10,2,OFN,0,3,2,b,b,1,583,1,38,1
44,44,Resp,2,45,44,44,0,12,11,12,10,3,YMN,0,2,3,n,n,1,547,1,39,1
45,45,Resp,2,46,45,45,0,12,11,13,10,4,OMN,1,4,4,m,m,1,663,1,40,1
46,46,Resp,2,47,46,46,0,13,11,13,10,3,YMN,0,2,3,n,n,1,532,1,41,1
47,47,Resp,2,48,47,47,0,13,11,14,10,4,OMN,1,4,4,m,m,1,535,1,42,1
48,48,Resp,2,49,48,48,0,14,11,14,10,3,YMN,0,2,3,n,n,1,555,1,43,1
49,49,Resp,2,50,49,49,0,15,11,14,10,3,YMN,0,2,3,n,n,1,534,1,44,1
50,50,Resp,2,51,50,50,0,15,11,15,10,4,OMN,1,4,4,m,m,1,787,1,45,1
51,51,Resp,2,52,51,51,0,15,11,16,10,4,OMN,1,4,4,m,m,1,558,1,46,1
52,52,Resp,2,53,52,52,0,15,11,16,11,2,OFN,0,3,2,b,b,1,570,1,47,1
53,53,Resp,2,54,53,53,0,16,11,16,11,3,YMN,0,2,3,n,n,1,502,1,48,1
54,54,Resp,2,55,54,54,0,16,11,16,12,2,OFN,0,3,2,b,b,1,700,1,49,1
55,55,Resp,2,56,55,55,0,16,12,16,12,1,YFN,1,1,1,v,v,1,517,1,50,1
56,56,Resp,2,57,56,56,0,16,13,16,12,1,YFN,1,1,1,v,v,1,538,1,51,1
57,57,Resp,2,58,57,57,0,16,13,17,12,4,OMN,1,4,4,m,n,0,486,2,51,1
58,58,Resp,2,59,58,58,0,16,13,18,12,4,OMN,1,4,4,m,m,1,555,1,52,1
59,59,Resp,2,60,59,59,0,16,14,18,12,1,YFN,1,1,1,v,v,1,588,1,53,1
60,60,Resp,2,61,60,60,0,16,14,18,13,2,OFN,0,3,3,n,b,0,456,2,53,1
61,61,Resp,2,62,61,61,0,16,14,18,14,2,OFN,0,3,3,n,b,0,596,2,53,1
62,62,Resp,2,63,62,62,0,17,14,18,14,3,YMN,0,2,2,b,n,0,570,2,53,1
63,63,Resp,2,64,63,63,0,18,14,18,14,3,YMN,0,2,2,b,m,0,756,2,53,1
64,64,Resp,2,65,64,64,0,18,14,18,15,2,OFN,0,3,3,n,b,0,728,2,53,1
65,65,Resp,2,66,65,65,0,19,14,18,15,3,YMN,0,2,2,b,n,0,780,2,53,1
66,66,Resp,2,67,66,66,0,19,14,18,16,2,OFN,0,3,3,n,m,0,689,2,53,1
67,67,Resp,2,68,67,67,0,19,14,19,16,4,OMN,1,4,4,m,m,1,1115,1,54,1
68,68,RespITI,2,69,68,68,0,19,14,20,16,4,OMN,1,4,4,m,0,0,1115,3,54,1
69,69,Resp,2,70,69,69,0,20,14,20,16,3,YMN,0,2,2,b,n,0,561,2,54,1
70,70,Resp,2,71,70,70,0,21,14,20,16,3,YMN,0,2,2,b,v,0,702,2,54,1
71,71,Resp,2,72,71,71,0,21,15,20,16,1,YFN,1,1,1,v,v,1,945,1,55,1
72,72,Resp,2,73,72,72,0,22,15,20,16,3,YMN,0,2,2,b,n,0,1013,2,55,1
73,73,Resp,2,74,73,73,0,22,15,20,17,2,OFN,0,3,3,n,n,1,769,1,56,1
74,74,Resp,2,75,74,74,0,22,15,21,17,4,OMN,1,4,4,m,m,1,645,1,57,1
75,75,Resp,2,76,75,75,0,22,16,21,17,1,YFN,1,1,1,v,b,0,904,2,57,1
76,76,Resp,2,77,76,76,0,22,17,21,17,1,YFN,1,1,1,v,v,1,628,1,58,1
77,77,Resp,2,78,77,77,0,23,17,21,17,3,YMN,0,2,2,b,b,1,568,1,59,1
78,78,Resp,2,79,78,78,0,23,18,21,17,1,YFN,1,1,1,v,v,1,693,1,60,1
79,79,Resp,2,80,79,79,0,24,18,21,17,3,YMN,0,2,2,b,b,1,640,1,61,1
80,80,Resp,2,81,80,80,0,24,18,21,18,2,OFN,0,3,3,n,n,1,547,1,62,1
81,81,Resp,2,82,81,81,0,24,18,22,18,4,OMN,1,4,4,m,m,1,455,1,63,1
82,82,Resp,2,83,82,82,0,24,18,22,19,2,OFN,0,3,3,n,n,1,941,1,64,1
83,83,Resp,2,84,83,83,0,24,19,22,19,1,YFN,1,1,1,v,v,1,935,1,65,1
84,84,Resp,2,85,84,84,0,24,19,23,19,4,OMN,1,4,4,m,m,1,803,1,66,1
85,85,Resp,2,86,85,85,0,24,19,23,20,2,OFN,0,3,3,n,n,1,647,1,67,1
86,86,RespITI,2,87,86,86,0,25,19,23,20,3,YMN,0,2,2,b,0,0,647,3,67,1
87,87,Resp,2,88,87,87,0,25,19,24,20,4,OMN,1,4,4,m,m,1,632,1,68,1
88,88,Resp,2,89,88,88,0,25,20,24,20,1,YFN,1,1,1,v,v,1,739,1,69,1
89,89,Resp,2,90,89,89,0,25,20,24,21,2,OFN,0,3,3,n,n,1,559,1,70,1
90,90,Resp,2,91,90,90,0,25,21,24,21,1,YFN,1,1,1,v,v,1,835,1,71,1
91,91,Resp,2,92,91,91,0,25,22,24,21,1,YFN,1,1,1,v,v,1,855,1,72,1
92,92,Resp,2,93,92,92,0,26,22,24,21,3,YMN,0,2,2,b,n,0,578,2,72,1
93,93,Resp,2,94,93,93,0,26,23,24,21,1,YFN,1,1,1,v,v,1,694,1,73,1
94,94,Resp,2,95,94,94,0,26,24,24,21,1,YFN,1,1,1,v,v,1,578,1,74,1
95,95,Resp,2,96,95,95,0,26,24,24,22,2,OFN,0,3,3,n,n,1,695,1,75,1
96,96,Resp,2,97,96,96,0,26,24,25,22,4,OMN,1,4,4,m,m,1,802,1,76,1
97,97,Resp,2,98,97,97,0,26,25,25,22,1,YFN,1,1,1,v,b,0,622,2,76,1
98,98,Resp,2,99,98,98,0,26,26,25,22,1,YFN,1,1,1,v,b,0,906,2,76,1
99,99,Resp,2,100,99,99,0,26,26,25,23,2,OFN,0,3,3,n,n,1,725,1,77,1
100,100,Resp,2,101,100,100,0,26,26,25,24,2,OFN,0,3,3,n,n,1,680,1,78,1
101,101,Resp,2,102,101,101,0,26,26,25,25,2,OFN,0,3,3,n,n,1,548,1,79,1
102,102,Resp,2,103,102,102,0,26,26,25,26,2,OFN,0,3,3,n,n,1,416,1,80,1
103,103,Resp,2,104,103,103,0,26,26,25,27,2,OFN,0,3,3,n,n,1,390,1,81,1
104,104,Resp,2,105,104,104,0,26,26,26,27,4,OMN,1,4,4,m,m,1,480,1,82,1
105,105,Resp,2,106,105,105,0,27,26,26,27,3,YMN,0,2,2,b,b,1,844,1,83,1
106,106,Resp,2,107,106,106,0,27,27,26,27,1,YFN,1,1,1,v,v,1,520,1,84,1
107,107,Resp,2,108,107,107,0,27,27,26,28,2,OFN,0,3,3,n,n,1,734,1,85,1
108,108,Resp,2,109,108,108,0,27,27,26,29,2,OFN,0,3,3,n,n,1,591,1,86,1
109,109,Resp,2,110,109,109,0,27,27,27,29,4,OMN,1,4,4,m,m,1,523,1,87,1
110,110,Resp,2,111,110,110,0,28,27,27,29,3,YMN,0,2,2,b,b,1,687,1,88,1
111,111,Resp,2,112,111,111,0,28,27,28,29,4,OMN,1,4,4,m,m,1,588,1,89,1
112,112,Resp,2,113,112,112,0,28,28,28,29,1,YFN,1,1,1,v,v,1,727,1,90,1
113,113,Resp,2,114,113,113,0,28,29,28,29,1,YFN,1,1,1,v,v,1,483,1,91,1
114,114,Resp,2,115,114,114,0,29,29,28,29,3,YMN,0,2,2,b,b,1,759,1,92,1
115,115,Resp,2,116,115,115,0,29,30,28,29,1,YFN,1,1,1,v,v,1,531,1,93,1
116,116,Resp,2,117,116,116,0,29,30,29,29,4,OMN,1,4,4,m,n,0,638,2,93,1
117,117,Resp,2,118,117,117,0,29,30,29,30,2,OFN,0,3,3,n,n,1,482,1,94,1
118,118,Resp,2,119,118,118,0,29,30,30,30,4,OMN,1,4,4,m,m,1,470,1,95,1
119,119,Resp,2,120,119,119,0,30,30,30,30,3,YMN,0,2,2,b,b,1,723,1,96,1
0,0,RespITI,3,1,0,0,0,0,0,0,1,3,OFN,0,3,3,n,0,0,,3,0,2
1,1,Resp,3,2,1,1,0,1,0,0,1,2,YMN,0,2,4,m,b,0,827,2,0,2
2,2,Resp,3,3,2,2,0,1,1,0,1,1,YFN,1,1,1,v,v,1,505,1,1,2
3,3,Resp,3,4,3,3,0,1,2,0,1,1,YFN,1,1,1,v,v,1,578,1,2,2
4,4,Resp,3,5,4,4,0,1,3,0,1,1,YFN,1,1,1,v,v,1,645,1,3,2
5,5,Resp,3,6,5,5,0,1,3,1,1,4,OMN,1,4,2,b,b,1,589,1,4,2
6,6,Resp,3,7,6,6,0,1,3,2,1,4,OMN,1,4,2,b,b,1,689,1,5,2
7,7,Resp,3,8,7,7,0,1,3,3,1,4,OMN,1,4,2,b,b,1,532,1,6,2
8,8,Resp,3,9,8,8,0,1,3,4,1,4,OMN,1,4,2,b,b,1,526,1,7,2
9,9,Resp,3,10,9,9,0,1,3,5,1,4,OMN,1,4,2,b,b,1,813,1,8,2
10,10,Resp,3,11,10,10,0,2,3,5,1,2,YMN,0,2,4,m,v,0,650,2,8,2
11,11,Resp,3,12,11,11,0,2,4,5,1,1,YFN,1,1,1,v,v,1,828,1,9,2
12,12,Resp,3,13,12,12,0,2,4,6,1,4,OMN,1,4,2,b,b,1,904,1,10,2
13,13,Resp,3,14,13,13,0,2,5,6,1,1,YFN,1,1,1,v,v,1,713,1,11,2
14,14,Resp,3,15,14,14,0,2,5,6,2,3,OFN,0,3,3,n,b,0,930,2,11,2
15,15,Resp,3,16,15,15,0,2,5,6,3,3,OFN,0,3,3,n,n,1,554,1,12,2
16,16,Resp,3,17,16,16,0,2,5,6,4,3,OFN,0,3,3,n,n,1,728,1,13,2
17,17,Resp,3,18,17,17,0,2,5,7,4,4,OMN,1,4,2,b,b,1,798,1,14,2
18,18,RespITI,3,19,18,18,0,2,6,7,4,1,YFN,1,1,1,v,0,0,798,3,14,2
19,19,Resp,3,20,19,19,0,3,6,7,4,2,YMN,0,2,4,m,v,0,1017,2,14,2
20,20,Resp,3,21,20,20,0,4,6,7,4,2,YMN,0,2,4,m,m,1,656,1,15,2
21,21,Resp,3,22,21,21,0,4,6,7,5,3,OFN,0,3,3,n,n,1,1054,1,16,2
22,22,Resp,3,23,22,22,0,4,6,7,6,3,OFN,0,3,3,n,n,1,905,1,17,2
23,23,Resp,3,24,23,23,0,4,6,8,6,4,OMN,1,4,2,b,b,1,800,1,18,2
24,24,Resp,3,25,24,24,0,4,6,9,6,4,OMN,1,4,2,b,b,1,769,1,19,2
25,25,Resp,3,26,25,25,0,4,6,10,6,4,OMN,1,4,2,b,b,1,527,1,20,2
26,26,Resp,3,27,26,26,0,4,6,10,7,3,OFN,0,3,3,n,b,0,1236,2,20,2
27,27,Resp,3,28,27,27,0,4,6,10,8,3,OFN,0,3,3,n,n,1,778,1,21,2
28,28,Resp,3,29,28,28,0,4,6,11,8,4,OMN,1,4,2,b,b,1,1048,1,22,2
29,29,Resp,3,30,29,29,0,4,6,11,9,3,OFN,0,3,3,n,n,1,726,1,23,2
30,30,Resp,3,31,30,30,0,4,7,11,9,1,YFN,1,1,1,v,v,1,769,1,24,2
31,31,Resp,3,32,31,31,0,5,7,11,9,2,YMN,0,2,4,m,m,1,691,1,25,2
32,32,Resp,3,33,32,32,0,5,7,11,10,3,OFN,0,3,3,n,n,1,933,1,26,2
33,33,Resp,3,34,33,33,0,6,7,11,10,2,YMN,0,2,4,m,v,0,1015,2,26,2
34,34,Resp,3,35,34,34,0,6,8,11,10,1,YFN,1,1,1,v,v,1,835,1,27,2
35,35,Resp,3,36,35,35,0,6,9,11,10,1,YFN,1,1,1,v,v,1,900,1,28,2
36,36,Resp,3,37,36,36,0,6,10,11,10,1,YFN,1,1,1,v,v,1,859,1,29,2
37,37,Resp,3,38,37,37,0,6,11,11,10,1,YFN,1,1,1,v,v,1,613,1,30,2
38,38,Resp,3,39,38,38,0,6,12,11,10,1,YFN,1,1,1,v,v,1,524,1,31,2
39,39,Resp,3,40,39,39,0,7,12,11,10,2,YMN,0,2,4,m,m,1,703,1,32,2
40,40,Resp,3,41,40,40,0,7,12,12,10,4,OMN,1,4,2,b,b,1,572,1,33,2
41,41,Resp,3,42,41,41,0,7,13,12,10,1,YFN,1,1,1,v,v,1,815,1,34,2
42,42,Resp,3,43,42,42,0,7,13,12,11,3,OFN,0,3,3,n,n,1,1167,1,35,2
43,43,Resp,3,44,43,43,0,7,14,12,11,1,YFN,1,1,1,v,v,1,1186,1,36,2
44,44,Resp,3,45,44,44,0,7,14,13,11,4,OMN,1,4,2,b,b,1,621,1,37,2
45,45,Resp,3,46,45,45,0,8,14,13,11,2,YMN,0,2,4,m,m,1,943,1,38,2
46,46,Resp,3,47,46,46,0,9,14,13,11,2,YMN,0,2,4,m,v,0,1239,2,38,2
47,47,Resp,3,48,47,47,0,9,14,13,12,3,OFN,0,3,3,n,n,1,1249,1,39,2
48,48,Resp,3,49,48,48,0,10,14,13,12,2,YMN,0,2,4,m,m,1,931,1,40,2
49,49,Resp,3,50,49,49,0,10,14,13,13,3,OFN,0,3,3,n,b,0,1027,2,40,2
50,50,Resp,3,51,50,50,0,11,14,13,13,2,YMN,0,2,4,m,m,1,910,1,41,2
51,51,RespITI,3,52,51,51,0,11,14,13,14,3,OFN,0,3,3,n,0,0,910,3,41,2
52,52,Resp,3,53,52,52,0,12,14,13,14,2,YMN,0,2,4,m,m,1,787,1,42,2
53,53,Resp,3,54,53,53,0,13,14,13,14,2,YMN,0,2,4,m,m,1,959,1,43,2
54,54,Resp,3,55,54,54,0,13,15,13,14,1,YFN,1,1,1,v,v,1,571,1,44,2
55,55,Resp,3,56,55,55,0,13,15,14,14,4,OMN,1,4,2,b,b,1,436,1,45,2
56,56,Resp,3,57,56,56,0,13,16,14,14,1,YFN,1,1,1,v,v,1,915,1,46,2
57,57,Resp,3,58,57,57,0,13,16,14,15,3,OFN,0,3,3,n,n,1,853,1,47,2
58,58,Resp,3,59,58,58,0,13,16,14,16,3,OFN,0,3,3,n,n,1,631,1,48,2
59,59,Resp,3,60,59,59,0,13,16,14,17,3,OFN,0,3,3,n,n,1,525,1,49,2
60,60,Resp,3,61,60,60,0,14,16,14,17,2,YMN,0,2,3,n,m,0,678,2,49,2
61,61,Resp,3,62,61,61,0,15,16,14,17,2,YMN,0,2,3,n,m,0,500,2,49,2
62,62,Resp,3,63,62,62,0,15,16,14,18,3,OFN,0,3,4,m,n,0,780,2,49,2
63,63,Resp,3,64,63,63,0,16,16,14,18,2,YMN,0,2,3,n,v,0,1112,2,49,2
64,64,Resp,3,65,64,64,0,17,16,14,18,2,YMN,0,2,3,n,b,0,480,2,49,2
65,65,Resp,3,66,65,65,0,17,17,14,18,1,YFN,1,1,1,v,v,1,700,1,50,2
66,66,Resp,3,67,66,66,0,17,17,15,18,4,OMN,1,4,2,b,b,1,598,1,51,2
67,67,Resp,3,68,67,67,0,17,17,15,19,3,OFN,0,3,4,m,b,0,775,2,51,2
68,68,Resp,3,69,68,68,0,17,17,15,20,3,OFN,0,3,4,m,n,0,868,2,51,2
69,69,Resp,3,70,69,69,0,17,18,15,20,1,YFN,1,1,1,v,v,1,901,1,52,2
70,70,Resp,3,71,70,70,0,17,18,16,20,4,OMN,1,4,2,b,b,1,678,1,53,2
71,71,Resp,3,72,71,71,0,17,19,16,20,1,YFN,1,1,1,v,v,1,737,1,54,2
72,72,Resp,3,73,72,72,0,17,19,17,20,4,OMN,1,4,2,b,b,1,534,1,55,2
73,73,Resp,3,74,73,73,0,17,19,18,20,4,OMN,1,4,2,b,b,1,497,1,56,2
74,74,Resp,3,75,74,74,0,18,19,18,20,2,YMN,0,2,3,n,m,0,701,2,56,2
75,75,Resp,3,76,75,75,0,19,19,18,20,2,YMN,0,2,3,n,m,0,1121,2,56,2
76,76,Resp,3,77,76,76,0,19,19,18,21,3,OFN,0,3,4,m,n,0,993,2,56,2
78,78,RespITI,3,79,77,77,0,19,19,19,21,4,OMN,1,4,2,b,b,0,1250,3,56,2
79,79,Resp,3,80,78,78,0,20,19,19,21,2,YMN,0,2,3,n,b,0,456,2,56,2
80,80,Resp,3,81,79,79,0,20,19,20,21,4,OMN,1,4,2,b,b,1,875,1,57,2
81,81,Resp,3,82,80,80,0,20,20,20,21,1,YFN,1,1,1,v,v,1,624,1,58,2
82,82,Resp,3,83,81,81,0,20,21,20,21,1,YFN,1,1,1,v,v,1,594,1,59,2
83,83,Resp,3,84,82,82,0,20,22,20,21,1,YFN,1,1,1,v,v,1,759,1,60,2
84,84,Resp,3,85,83,83,0,20,23,20,21,1,YFN,1,1,1,v,v,1,533,1,61,2
85,85,Resp,3,86,84,84,0,20,23,21,21,4,OMN,1,4,2,b,b,1,840,1,62,2
86,86,Resp,3,87,85,85,0,20,23,21,22,3,OFN,0,3,4,m,m,1,1033,1,63,2
87,87,Resp,3,88,86,86,0,20,23,22,22,4,OMN,1,4,2,b,b,1,1066,1,64,2
88,88,RespITI,3,89,87,87,0,21,23,22,22,2,YMN,0,2,3,n,0,0,1066,3,64,2
89,89,Resp,3,90,88,88,0,22,23,22,22,2,YMN,0,2,3,n,n,1,539,1,65,2
90,90,Resp,3,91,89,89,0,22,23,23,22,4,OMN,1,4,2,b,b,1,777,1,66,2
91,91,Resp,3,92,90,90,0,22,23,24,22,4,OMN,1,4,2,b,b,1,1017,1,67,2
92,92,Resp,3,93,91,91,0,22,23,24,23,3,OFN,0,3,4,m,m,1,1213,1,68,2
93,93,Resp,3,94,92,92,0,22,23,24,24,3,OFN,0,3,4,m,m,1,605,1,69,2
94,94,Resp,3,95,93,93,0,22,24,24,24,1,YFN,1,1,1,v,v,1,849,1,70,2
95,95,Resp,3,96,94,94,0,22,25,24,24,1,YFN,1,1,1,v,v,1,533,1,71,2
96,96,Resp,3,97,95,95,0,22,25,24,25,3,OFN,0,3,4,m,m,1,979,1,72,2
97,97,Resp,3,98,96,96,0,22,26,24,25,1,YFN,1,1,1,v,n,0,1231,2,72,2
98,98,Resp,3,99,97,97,0,23,26,24,25,2,YMN,0,2,3,n,n,1,561,1,73,2
99,99,Resp,3,100,98,98,0,23,27,24,25,1,YFN,1,1,1,v,v,1,599,1,74,2
100,100,Resp,3,101,99,99,0,24,27,24,25,2,YMN,0,2,3,n,n,1,1088,1,75,2
101,101,Resp,3,102,100,100,0,24,27,25,25,4,OMN,1,4,2,b,b,1,809,1,76,2
102,102,Resp,3,103,101,101,0,25,27,25,25,2,YMN,0,2,3,n,n,1,1005,1,77,2
103,103,Resp,3,104,102,102,0,26,27,25,25,2,YMN,0,2,3,n,n,1,806,1,78,2
104,104,Resp,3,105,103,103,0,26,27,25,26,3,OFN,0,3,4,m,m,1,701,1,79,2
105,105,Resp,3,106,104,104,0,26,28,25,26,1,YFN,1,1,1,v,v,1,718,1,80,2
106,106,Resp,3,107,105,105,0,27,28,25,26,2,YMN,0,2,3,n,m,0,921,2,80,2
107,107,Resp,3,108,106,106,0,28,28,25,26,2,YMN,0,2,3,n,n,1,526,1,81,2
108,108,Resp,3,109,107,107,0,28,29,25,26,1,YFN,1,1,1,v,v,1,601,1,82,2
109,109,Resp,3,110,108,108,0,28,29,26,26,4,OMN,1,4,2,b,b,1,392,1,83,2
110,110,Resp,3,111,109,109,0,29,29,26,26,2,YMN,0,2,3,n,n,1,1050,1,84,2
111,111,Resp,3,112,110,110,0,29,29,27,26,4,OMN,1,4,2,b,b,1,1200,1,85,2
112,112,Resp,3,113,111,111,0,29,29,27,27,3,OFN,0,3,4,m,m,1,900,1,86,2
113,113,Resp,3,114,112,112,0,29,29,28,27,4,OMN,1,4,2,b,b,1,769,1,87,2
114,114,RespITI,3,115,113,113,0,29,29,28,28,3,OFN,0,3,4,m,0,0,769,3,87,2
115,115,Resp,3,116,114,114,0,29,29,28,29,3,OFN,0,3,4,m,n,0,642,2,87,2
116,116,Resp,3,117,115,115,0,29,29,29,29,4,OMN,1,4,2,b,b,1,1172,1,88,2
117,117,Resp,3,118,116,116,0,30,29,29,29,2,YMN,0,2,3,n,n,1,564,1,89,2
118,118,Resp,3,119,117,117,0,30,30,29,29,1,YFN,1,1,1,v,v,1,667,1,90,2
119,119,Resp,3,120,118,118,0,30,30,29,30,3,OFN,0,3,4,m,m,1,795,1,91,2
120,120,Resp,3,121,119,119,0,30,30,30,30,4,OMN,1,4,2,b,b,1,917,1,92,2
0,0,Resp,3,1,0,0,0,0,0,0,1,3,OFN,0,3,3,n,n,1,655,1,1,3
1,1,Resp,3,2,1,1,0,0,0,0,2,3,OFN,0,3,3,n,n,1,835,1,2,3
2,2,Resp,3,3,2,2,0,0,0,1,2,4,OMN,1,4,2,b,b,1,730,1,3,3
3,3,Resp,3,4,3,3,0,0,1,1,2,1,YFN,1,1,1,v,v,1,586,1,4,3
4,4,Resp,3,5,4,4,0,0,2,1,2,1,YFN,1,1,1,v,v,1,665,1,5,3
5,5,Resp,3,6,5,5,0,0,3,1,2,1,YFN,1,1,1,v,v,1,616,1,6,3
6,6,Resp,3,7,6,6,0,0,4,1,2,1,YFN,1,1,1,v,v,1,486,1,7,3
7,7,Resp,3,8,7,7,0,1,4,1,2,2,YMN,0,2,4,m,m,1,621,1,8,3
8,8,Resp,3,9,8,8,0,1,4,1,3,3,OFN,0,3,3,n,n,1,646,1,9,3
9,9,Resp,3,10,9,9,0,1,4,1,4,3,OFN,0,3,3,n,n,1,661,1,10,3
10,10,Resp,3,11,10,10,0,1,4,1,5,3,OFN,0,3,3,n,n,1,633,1,11,3
11,11,Resp,3,12,11,11,0,2,4,1,5,2,YMN,0,2,4,m,m,1,617,1,12,3
12,12,Resp,3,13,12,12,0,2,5,1,5,1,YFN,1,1,1,v,v,1,695,1,13,3
13,13,Resp,3,14,13,13,0,3,5,1,5,2,YMN,0,2,4,m,m,1,629,1,14,3
14,14,Resp,3,15,14,14,0,3,5,2,5,4,OMN,1,4,2,b,b,1,764,1,15,3
15,15,Resp,3,16,15,15,0,3,6,2,5,1,YFN,1,1,1,v,v,1,764,1,16,3
16,16,Resp,3,17,16,16,0,3,7,2,5,1,YFN,1,1,1,v,v,1,643,1,17,3
17,17,Resp,3,18,17,17,0,3,8,2,5,1,YFN,1,1,1,v,v,1,635,1,18,3
18,18,Resp,3,19,18,18,0,3,8,2,6,3,OFN,0,3,3,n,n,1,553,1,19,3
19,19,Resp,3,20,19,19,0,3,9,2,6,1,YFN,1,1,1,v,n,0,609,2,19,3
20,20,Resp,3,21,20,20,0,4,9,2,6,2,YMN,0,2,4,m,m,1,727,1,20,3
21,21,Resp,3,22,21,21,0,4,10,2,6,1,YFN,1,1,1,v,v,1,464,1,21,3
22,22,Resp,3,23,22,22,0,5,10,2,6,2,YMN,0,2,4,m,m,1,565,1,22,3
